Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Grams of Compost Harvested,Buzzer (NIL),,
"22 Dec 2023, 10.00 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.01 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.02 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.03 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.04 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.05 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.06 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.07 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.08 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.09 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.10 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.11 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.12 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.13 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.14 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.15 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.16 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.17 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.18 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.19 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.20 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.21 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.22 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.23 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.24 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.25 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.26 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.27 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.28 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.29 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.30 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.31 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.32 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.33 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.34 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.35 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
"22 Dec 2023, 10.36 AM",20,160,150,120,150,100,94,NaN,28.5,,,1,1,,,,
